
[19-Jun-2022 09:38:20 UTC] PHP Parse error:  syntax error, unexpected token "}" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/page-my-notes.php on line 4
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Cookie/Jar.php on line 63
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Cookie/Jar.php on line 73
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Cookie/Jar.php on line 89
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Cookie/Jar.php on line 102
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Cookie/Jar.php on line 111
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 40
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 51
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 68
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 82
[29-Jun-2022 18:50:50 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /var/www/wordpress/001-Fictional_University/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 91
[03-Jul-2022 10:57:15 UTC] PHP Warning:  Array to string conversion in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 226
[03-Jul-2022 11:36:29 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:46:45 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:46:49 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:47:03 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:47:05 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:47:10 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:47:50 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:48:04 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 228
[03-Jul-2022 11:50:51 UTC] PHP Warning:  Undefined array key "id" in /var/www/wordpress/001-Fictional_University/wp-content/themes/fictional-university-theme/functions.php on line 232
